i,d,F(d)
587,74.23,0.13949619771863117
588,74.28,0.1397338403041825
589,74.3,0.13997148288973385
590,74.3,0.14020912547528516
591,74.38,0.1404467680608365
592,74.38,0.14068441064638784
593,74.5,0.14092205323193915
594,74.52,0.1411596958174905
595,74.57,0.14139733840304183
596,74.58,0.14163498098859315
597,74.65,0.14187262357414449
598,74.9,0.14211026615969582
599,74.93,0.14234790874524714
600,74.95,0.14258555133079848
601,75.0,0.14282319391634982
602,75.03,0.14306083650190113
603,75.1,0.14329847908745247
604,75.12,0.1435361216730038
605,75.13,0.14377376425855512
606,75.18,0.14401140684410646
607,75.2,0.1442490494296578
608,75.25,0.1444866920152091
609,75.3,0.14472433460076045
610,75.33,0.1449619771863118
611,75.38,0.1451996197718631
612,75.4,0.14543726235741444
613,75.45,0.14567490494296578
614,75.53,0.14591254752851712
615,75.65,0.14615019011406843
616,75.65,0.14638783269961977
617,75.67,0.14662547528517111
618,75.73,0.14686311787072243
619,75.73,0.14710076045627377
620,75.82,0.1473384030418251
621,75.87,0.14757604562737642
622,75.93,0.14781368821292776
623,75.95,0.1480513307984791
624,76.03,0.1482889733840304
625,76.15,0.14852661596958175
626,76.27,0.1487642585551331
627,76.28,0.1490019011406844
628,76.4,0.14923954372623574
629,76.58,0.14947718631178708
630,76.73,0.1497148288973384
631,76.8,0.14995247148288973
632,76.82,0.15019011406844107
633,76.9,0.15042775665399238
634,76.9,0.15066539923954372
635,76.92,0.15090304182509506
636,77.03,0.15114068441064638
637,77.07,0.15137832699619772
638,77.1,0.15161596958174905
639,77.12,0.15185361216730037
640,77.13,0.1520912547528517
641,77.13,0.15232889733840305
642,77.15,0.15256653992395436
643,77.15,0.1528041825095057
644,77.17,0.15304182509505704
645,77.18,0.15327946768060838
646,77.25,0.1535171102661597
647,77.32,0.15375475285171103
648,77.42,0.15399239543726237
649,77.42,0.15423003802281368
650,77.45,0.15446768060836502
651,77.45,0.15470532319391636
652,77.5,0.15494296577946767
653,77.58,0.155180608365019
654,77.63,0.15541825095057035
655,77.75,0.15565589353612166
656,77.8,0.155893536121673
657,77.93,0.15613117870722434
658,77.95,0.15636882129277566
659,77.97,0.156606463878327
660,77.98,0.15684410646387834
661,78.12,0.15708174904942965
662,78.13,0.157319391634981
663,78.18,0.15755703422053233
664,78.22,0.15779467680608364
665,78.23,0.15803231939163498
666,78.23,0.15826996197718632
667,78.25,0.15850760456273763
668,78.25,0.15874524714828897
669,78.28,0.1589828897338403
670,78.37,0.15922053231939162
671,78.37,0.15945817490494296
672,78.38,0.1596958174904943
673,78.4,0.1599334600760456
674,78.42,0.16017110266159695
675,78.43,0.1604087452471483
676,78.47,0.1606463878326996
677,78.48,0.16088403041825095
678,78.5,0.16112167300380228
679,78.73,0.16135931558935362
680,78.75,0.16159695817490494
681,78.82,0.16183460076045628
682,78.85,0.16207224334600762
683,78.9,0.16230988593155893
684,78.93,0.16254752851711027
685,79.08,0.1627851711026616
686,79.18,0.16302281368821292
687,79.25,0.16326045627376426
688,79.32,0.1634980988593156
689,79.32,0.1637357414448669
690,79.35,0.16397338403041825
691,79.42,0.1642110266159696
692,79.43,0.1644486692015209
693,79.55,0.16468631178707224
694,79.57,0.16492395437262358
695,79.6,0.1651615969581749
696,79.62,0.16539923954372623
697,79.65,0.16563688212927757
698,79.72,0.16587452471482889
699,79.73,0.16611216730038023
700,79.78,0.16634980988593157
701,79.78,0.16658745247148288
702,79.8,0.16682509505703422
703,79.83,0.16706273764258556
704,79.9,0.16730038022813687
705,79.93,0.1675380228136882
706,79.93,0.16777566539923955
707,79.97,0.16801330798479086
708,80.03,0.1682509505703422
709,80.12,0.16848859315589354
710,80.12,0.16872623574144485
711,80.22,0.1689638783269962
712,80.38,0.16920152091254753
713,80.4,0.16943916349809887
714,80.42,0.16967680608365018
715,80.45,0.16991444866920152
716,80.48,0.17015209125475286
717,80.6,0.17038973384030418
718,80.6,0.17062737642585551
719,80.62,0.17086501901140685
720,80.63,0.17110266159695817
721,80.65,0.1713403041825095
722,80.72,0.17157794676806085
723,80.72,0.17181558935361216
724,80.72,0.1720532319391635
725,80.75,0.17229087452471484
726,80.75,0.17252851711026615
727,80.77,0.1727661596958175
728,80.88,0.17300380228136883
729,80.92,0.17324144486692014
730,80.97,0.17347908745247148
731,80.98,0.17371673003802282
732,80.98,0.17395437262357413
733,81.05,0.17419201520912547
734,81.1,0.1744296577946768
735,81.13,0.17466730038022812
736,81.13,0.17490494296577946
737,81.15,0.1751425855513308
738,81.15,0.17538022813688212
739,81.18,0.17561787072243346
740,81.22,0.1758555133079848
741,81.22,0.1760931558935361
742,81.22,0.17633079847908745
743,81.22,0.1765684410646388
744,81.22,0.17680608365019013
745,81.23,0.17704372623574144
746,81.3,0.17728136882129278
747,81.32,0.17751901140684412
748,81.32,0.17775665399239543
749,81.32,0.17799429657794677
750,81.37,0.1782319391634981
751,81.37,0.17846958174904942
752,81.4,0.17870722433460076
753,81.4,0.1789448669201521
754,81.47,0.1791825095057034
755,81.48,0.17942015209125475
756,81.48,0.1796577946768061
757,81.53,0.1798954372623574
758,81.58,0.18013307984790874
759,81.6,0.18037072243346008
760,81.67,0.1806083650190114
761,81.67,0.18084600760456274
762,81.7,0.18108365019011408
763,81.73,0.1813212927756654
764,81.75,0.18155893536121673
765,81.75,0.18179657794676807
766,81.77,0.18203422053231938
767,81.85,0.18227186311787072
768,81.93,0.18250950570342206
769,81.95,0.18274714828897337
770,81.95,0.1829847908745247
771,82.02,0.18322243346007605
772,82.03,0.18346007604562736
773,82.05,0.1836977186311787
774,82.07,0.18393536121673004
775,82.1,0.18417300380228135
776,82.1,0.1844106463878327
777,82.1,0.18464828897338403
778,82.12,0.18488593155893537
779,82.12,0.18512357414448669
780,82.13,0.18536121673003803
781,82.13,0.18559885931558937
782,82.17,0.18583650190114068
783,82.17,0.18607414448669202
784,82.18,0.18631178707224336
785,82.23,0.18654942965779467
786,82.23,0.186787072243346
787,82.25,0.18702471482889735
788,82.25,0.18726235741444866
789,82.27,0.1875
790,82.28,0.18773764258555134
791,82.28,0.18797528517110265
792,82.3,0.188212927756654
793,82.33,0.18845057034220533
794,82.33,0.18868821292775664
795,82.35,0.18892585551330798
796,82.35,0.18916349809885932
797,82.37,0.18940114068441063
798,82.37,0.18963878326996197
